Year	Month	Land Δ(T) (C)	Ocean Δ(T) (C)	Ocean-Land Δ(T) (C)
1895	5	-0.772106	-0.53292	-0.601591
1895	6	-0.702672	-0.560053	-0.601331
1895	7	-0.572607	-0.495662	-0.518121
1895	8	-0.663538	-0.488616	-0.53874
1895	9	-0.459955	-0.451969	-0.454278
1895	10	-0.446992	-0.365715	-0.38697
1895	11	-0.560042	-0.409992	-0.451143
1895	12	-0.650155	-0.386787	-0.456996
1896	1	-0.646195	-0.40056	-0.465954
1896	2	-0.743727	-0.347329	-0.451077
1896	3	-1.256034	-0.329485	-0.584871
1896	4	-1.246275	-0.31736	-0.573453
1896	5	-0.647484	-0.381508	-0.460611
1896	6	-0.491829	-0.375864	-0.408013
1896	7	-0.402677	-0.31705	-0.340378
1896	8	-0.443362	-0.293972	-0.335743
1896	9	-0.522753	-0.254189	-0.331403
1896	10	-0.279097	-0.249281	-0.256971
1896	11	-1.138822	-0.170336	-0.423933
1896	12	-0.717108	-0.102902	-0.267236
1897	1	-1.100955	-0.193446	-0.445875
1897	2	-1.151373	NaN	-0.457572
1897	3	-1.478407	-0.127742	-0.495065
1897	4	-0.465489	-0.216183	-0.282429
1897	5	-0.306643	-0.325552	-0.320571
1897	6	-0.410666	-0.367177	-0.378685
1897	7	NaN	-0.359174	-0.315793
1897	8	-0.359596	-0.387744	-0.379742
1897	9	-0.189392	-0.382517	-0.332239
1897	10	-0.388772	-0.452684	-0.435733
1897	11	-0.655287	-0.485723	-0.530513
1897	12	-0.991333	-0.42847	-0.583363
1898	1	-0.18391	-0.376835	-0.326136
1898	2	-1.145134	-0.437284	-0.625173
1898	3	-2.203246	-0.584498	-1.030323
1898	4	-1.004144	-0.594562	-0.705098
1898	5	-0.819364	-0.513692	-0.589989
1898	6	-0.460129	-0.521848	-0.505594
1898	7	-0.485857	-0.532997	-0.520693
1898	8	-0.427495	-0.565699	-0.529448
1898	9	-0.504226	-0.50931	-0.507909
1898	10	-0.892633	-0.553063	-0.639955
1898	11	-0.734626	-0.53032	-0.585472
1898	12	-0.261784	-0.504669	-0.441259
1899	1	-0.520124	-0.436597	-0.45791
1899	2	-1.194557	-0.464428	-0.659684
1899	3	-1.175681	-0.491138	-0.674496
1899	4	-0.535566	-0.51721	-0.522007
1899	5	-0.593469	-0.46551	-0.496851
1899	6	-0.811813	-0.505869	-0.58521
1899	7	-0.50925	-0.454938	-0.46937
1899	8	-0.501728	-0.360056	-0.396094
1899	9	-0.233025	-0.363118	-0.330347
1899	10	-0.247461	-0.394362	-0.357115
1899	11	NaN	-0.350381	-0.170057
1899	12	-1.064284	-0.332269	-0.508193
1900	1	-1.551668	-0.344841	-0.662734
1900	2	-0.82979	-0.253586	-0.403923
1900	3	-0.543166	-0.337409	-0.391811
1900	4	-0.71903	-0.314348	-0.419057
1900	5	-0.342237	-0.407399	-0.390795
1900	6	-0.329511	-0.375034	-0.362942
1900	7	-0.403141	-0.37847	-0.384984
1900	8	-0.277968	-0.391305	-0.361807
1900	9	-0.319743	-0.347977	-0.340553
1900	10	0.054057	-0.276568	-0.193422
1900	11	-0.597428	-0.346842	-0.408754
1900	12	-0.29765	-0.332671	-0.324062
1901	1	-0.842172	-0.319568	-0.452378
1901	2	-0.798542	-0.318097	-0.439449
1901	3	-0.335033	-0.401134	-0.38412
1901	4	-0.36111	-0.389783	-0.382434
1901	5	-0.472847	-0.425732	-0.438075
1901	6	-0.261419	-0.438893	-0.391761
1901	7	-0.199817	-0.515212	-0.431536
1901	8	-0.279652	-0.551005	-0.47975
1901	9	-0.405483	-0.570629	NaN
1901	10	-0.664168	-0.565728	-0.591823
1901	11	-0.355126	-0.51641	-0.474235
1901	12	-0.874808	-0.515337	-0.611532
1902	1	-0.21583	-0.494576	-0.421806
1902	2	-0.094483	-0.511831	-0.396633
1902	3	-0.77892	-0.505581	-0.577142
1902	4	-0.999344	-0.460299	-0.601414
1902	5	-0.715901	-0.579908	-0.616218
1902	6	-0.598679	-0.621097	-0.615202
1902	7	-0.464143	-0.604519	-0.568278
1902	8	-0.568976	-0.595873	-0.588795
1902	9	-0.515109	-0.584665	-0.565395
1902	10	-0.700227	-0.520151	-0.569151
1902	11	-0.955065	-0.489232	-0.613079
1902	12	-1.257786	-0.496364	-0.703566
1903	1	-0.598688	-0.536414	-0.553869
1903	2	-0.20374	-0.508835	-0.429477
1903	3	-0.787995	-0.540252	-0.605813
1903	4	-0.928276	-0.60626	-0.692282
1903	5	-0.907404	-0.675312	-0.736126
1903	6	-0.793765	-0.670645	-0.702976
1903	7	-0.663759	-0.708932	-0.696916
1903	8	-0.637416	-0.780115	-0.740885
1903	9	-0.653755	NaN	-0.742764
1903	10	-0.873538	-0.750405	-0.783013
1903	11	-0.800251	-0.741182	-0.756728
1903	12	-1.092584	-0.703202	-0.80228
1904	1	-1.383895	-0.783197	-0.939666
1904	2	-1.201015	-0.821442	-0.921469
1904	3	-1.330958	-0.793519	-0.942628
1904	4	-1.080616	-0.75108	-0.841489
1904	5	-0.704639	-0.815244	-0.785882
1904	6	-0.699689	-0.783014	-0.760387
1904	7	-0.765338	-0.807064	-0.795591
1904	8	-0.627371	-0.780346	-0.73923
1904	9	-0.780554	-0.768259	-0.771541
1904	10	-0.781446	-0.67603	-0.705524
1904	11	0.065558	-0.643455	-0.446284
1904	12	-0.592724	-0.666299	-0.64677
1905	1	-0.749379	-0.648211	-0.676571
1905	2	-1.853679	-0.627939	-0.979567
1905	3	-1.285897	-0.556136	-0.760602
1905	4	-1.236084	-0.562248	-0.753269
1905	5	-0.678124	-0.561844	-0.593188
1905	6	-0.59121	-0.563227	-0.571137
1905	7	-0.468189	-0.551318	-0.528065
1905	8	-0.466067	-0.510422	-0.498134
1905	9	-0.421412	-0.538465	-0.504554
1905	10	-0.527792	-0.537692	-0.534842
1905	11	-0.041433	-0.483142	-0.364724
1905	12	-0.401943	-0.431086	-0.423156
1906	1	-0.697433	-0.37526	-0.464783
1906	2	-1.148601	-0.374865	-0.581971
1906	3	-0.847576	-0.427563	-0.54376
1906	4	-0.267826	-0.45397	NaN
1906	5	-0.366729	-0.627888	-0.555568
1906	6	-0.312554	-0.535421	-0.474188
1906	7	-0.435897	-0.554225	-0.520037
1906	8	-0.467511	-0.569855	-0.541457
